app_id,name,description,image,developers,publishers,price,metacritic,genres,recommendations,release_date
269050,Year Walk,"In the old days man tried to catch a glimpse of the future in the strangest of ways.Experience the ancient Swedish phenomena of year walking through a different kind of first person adventure that blurs the line between two and three dimensions, as well as reality and the supernatural.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/269050/header.jpg?t=1578575546,['Simogo'],['Simogo'],589,87,"['Adventure', 'Indie']",1215,"time.struct_time(tm_year=2014, tm_mon=3, tm_mday=6, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=65, tm_isdst=-1)"
497730,The Wardrobe - Even Better Edition,"Inspired by the great ‘90s classics such as 'Monkey Island', 'Day of the Tentacle', 'Tony Tough' and 'Sam &amp; Max: Hit the Road', &quot;The Wardrobe&quot; has a strong sense of humour, but isn't shy about dealing with mature and non-politically correct themes.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/497730/header.jpg?t=1599213481,['CINIC Games'],['Gamera Interactive'],1499,72,"['Adventure', 'Indie']",468,"time.struct_time(tm_year=2017, tm_mon=2, tm_mday=15, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=46, tm_isdst=-1)"
11450,Overlord™,"Prepare to be tempted, mesmerized and thrilled, become the Overlord, how corrupt you become depends on how you handle any given situation. Your actions impact the game world. With incredible power at your disposal and a team of evil minded minions to do your evil bidding, how will you resist the temptation to be incredibly despotic?",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/11450/header.jpg?t=1729270455,['Triumph Studios'],"['Codemasters', 'Electronic Arts']",499,81,['RPG'],4542,"time.struct_time(tm_year=2007, tm_mon=10, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=299, tm_isdst=-1)"
268910,Cuphead,"Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional hand drawn cel animation, watercolor backgrounds, and original jazz recordings.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/268910/header.jpg?t=1709068852,['Studio MDHR Entertainment Inc.'],['Studio MDHR Entertainment Inc.'],1999,88,"['Action', 'Indie']",155358,"time.struct_time(tm_year=2017, tm_mon=9, tm_mday=29, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=272, tm_isdst=-1)"
39670,Chaser,"Mars, 2044. The UN establishes MARSCORP (Martian Security and Economics Committee) under the leadership of Samuel Longwood. In the years that follow, the UN gradually loses control of MARSCORP, mainly due to the non-transparent licence policy of its director.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/39670/header.jpg?t=1562768220,['Cauldron'],['THQ Nordic'],499,66,['Action'],972,"time.struct_time(tm_year=2010, tm_mon=7, tm_mday=16, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=197, tm_isdst=-1)"
46490,Still Life 2,"Who is hiding behind Mr. X? Still Life 2 reveals the long-awaited ending of Still Life and spells a new investigation for Agent Victoria McPherson. In Fall 2008, Victoria is sent to Maine where Ellen Dunnigan's body has just been found.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/46490/header.jpg?t=1570009802,['Microids'],['Microids'],799,67,['Adventure'],432,"time.struct_time(tm_year=2011, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=152, tm_isdst=-1)"
23600,Depths of Peril,"Depths of Peril is a single player action RPG (role-playing game) with strong strategy elements. You play as a faction leader protecting the barbarian city, Jorvik, by destroying threatening monsters and completing quests. At the same time, you compete with rival factions to see who will rule the city.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/23600/header.jpg?t=1724974208,['Soldak Entertainment'],['Soldak Entertainment'],975,79,"['Indie', 'RPG', 'Strategy']",108,"time.struct_time(tm_year=2010, tm_mon=11, tm_mday=23, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=327, tm_isdst=-1)"
1075200,TOHU,"Experience a brand new adventure game set amongst a world of weird and wonderful fish planets. Explore beautiful environments, solve intricate puzzles and discover the truth about a mysterious little girl and her mechanical alter-ego, Cubus.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1075200/header.jpg?t=1734532707,['Fireart Games'],['Fireart Games'],1299,72,"['Adventure', 'Indie']",295,"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=28, tm_isdst=-1)"
253290,FOTONICA,"Ever wondered what running at 140mph feels like? FOTONICA is a first-person game about the thrill of speed and traveling flawlessly through complex environments.FOTONICA is simple, but is not easy: it follows a tradition of arcade games that are easy to pick up and almost impossible to master.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/253290/header.jpg?t=1727787644,['Santa Ragione'],['Santa Ragione'],1499,71,"['Action', 'Indie']",625,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=6, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=310, tm_isdst=-1)"
9200,RAGE,"Powered by id’s revolutionary id Tech® 5 technology, RAGE is an intense first-person shooter with breakneck vehicle combat, an expansive world to explore, and jaw-dropping graphics!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/9200/header.jpg?t=1706806214,['id Software'],['Bethesda Softworks'],999,79,['Action'],11530,"time.struct_time(tm_year=2011, tm_mon=10, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=276, tm_isdst=-1)"
